 ;;Record No.;Descripcion Articulo;UM;Fabricante;Cod. IVA;Impuesto IVA;Clase;Categoria;Control de Lote;Costeable;En Stock;Acuerdo;Status;Elaborado por;Fecha de creacion
;false;Z419111-0135;Sub. TACHONES plásticos;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0134;Sub. ESTOPEROLES con espigo para anclaje al piso;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0133;Sub. Rodadura MDC-2 Convencional;M3;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0132;Sub. Señales verticales de 75cm dobles lamina galv cal 16 soporte en angulo2x2x1/4 Pulg;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0131;Sub. Señales provisionales;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SEÑALIZACION Y NOMENCLATURA;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0130;Sub. Sacos de Fibra de 60 x 40 x 20;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0129;Sub. Llenado y Ubicacion de Bolsacreto 3000 PSI Grava Comun;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0128;Sub. Bolsacreto 2.7mx1.0mx0.4m;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0127;Sub. Geotextil No Tejido Fibertex f30g;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0126;Sub. Canaleta Rigida en Concreto A=0.70m;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;CUBIERTAS Y ACCESORIOS;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0125;Sub. Excavación a mano - red acueducto;M3;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;MOVIMIENTO DE TIERRAS;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
